Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2021-05-04 14:38:37,BURGERUSDT,BUY,16.8600000000,1.1000000000BURGER,18.54600000USDT,0.0011000000BURGER
2021-05-04 14:30:33,XRPUSDT,BUY,1.4300000000,13.9800000000XRP,19.99140000USDT,0.0139800000XRP
2021-05-04 12:19:50,GRTUSDT,BUY,1.5300000000,13.0700000000GRT,19.99710000USDT,0.0130700000GRT
2021-05-04 09:42:27,EURUSDT,SELL,1.1989000000,100.0000000000EUR,119.89000000USDT,0.1198900000USDT
2021-05-04 09:24:17,NANOBUSD,BUY,9.6280000000,2.0700000000NANO,19.92996000BUSD,0.0000000000NANO
2021-05-04 07:25:42,XLMBUSD,BUY,0.5318500000,13.4000000000XLM,7.12679000BUSD,0.0000000000XLM
2021-05-04 07:25:25,XLMBUSD,BUY,0.5318500000,24.2000000000XLM,12.87077000BUSD,0.0000000000XLM
2021-05-04 07:08:35,IOTABUSD,BUY,1.9869000000,7.0500000000IOTA,14.00764500BUSD,0.0070500000IOTA
2021-05-04 07:08:35,IOTABUSD,BUY,1.9869000000,3.0100000000IOTA,5.98056900BUSD,0.0030100000IOTA
2021-05-04 07:08:10,HIVEUSDT,BUY,0.6232000000,32.0800000000HIVE,19.99225600USDT,0.0320800000HIVE
2021-05-03 07:45:36,EURBUSD,SELL,1.2027000000,50.0000000000EUR,60.13500000BUSD,0.0000000000BUSD
2021-05-03 07:13:27,FILUSDT,BUY,162.1700000000,0.1232000000FIL,19.97934400USDT,0.0001232000FIL
2021-05-03 07:09:42,BURGERUSDT,BUY,23.0000000000,1.0000000000BURGER,23.00000000USDT,0.0010000000BURGER
2021-05-03 07:01:54,TLMUSDT,BUY,0.7340000000,17.1900000000TLM,12.61746000USDT,0.0171900000TLM
2021-05-03 07:01:54,TLMUSDT,BUY,0.7341000000,10.0200000000TLM,7.35568200USDT,0.0100200000TLM
2021-05-02 21:16:23,BANDUSDT,BUY,17.7990000000,1.1220000000BAND,19.97047800USDT,0.0011220000BAND
2021-05-02 21:03:09,EURUSDT,SELL,1.2008000000,100.0000000000EUR,120.08000000USDT,0.1200800000USDT
